Comment,Designator,Footprint,LCSC
"NC/Arduino Footprint","A1","Module:Arduino_UNO_R3_WithMountingHoles",""
"NC","C1,C2","Capacitor_SMD:C_0805_2012Metric",""
"NC","C10,C14","Capacitor_SMD:C_0805_2012Metric",""
"100nF","C3,C4,C9,C11,C12,C13","Capacitor_SMD:C_0805_2012Metric","C49678"
"1uF","C5,C6","Capacitor_SMD:C_0805_2012Metric","C28323"
"10uF","C7,C8","Capacitor_SMD:C_1206_3216Metric","C13585"
"GREEN LED","D1","LED_SMD:LED_0805_2012Metric","C2297"
"RED LED","D2","LED_SMD:LED_0805_2012Metric","C84256"
"WHITE LED","D3","LED_SMD:LED_0805_2012Metric","C34499"
"1N4007","D4","Diode_SMD:D_SMA","C95872"
"Barrel_Jack_MountingPin","J1","Connector_BarrelJack:BarrelJack_Horizontal",""
"USB_B_Micro","J2","Connector_USB:USB_Micro-B_Amphenol_10118194_Horizontal","C132563"
"OLED","J3","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"SolderJumper_2_Open","JP1","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"SolderJumper_2_Bridged","JP2,JP3,JP4,JP5,JP7,JP8,JP10","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm",""
"SolderJumper_2_Bridged","JP6,JP9","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"3k","R1,R2","Resistor_SMD:R_0805_2012Metric","C17661"
"NC","R3","Resistor_SMD:R_0805_2012Metric",""
"NC","R4","Resistor_SMD:R_0805_2012Metric",""
"22k","R5,R6,R8","Resistor_SMD:R_0805_2012Metric","C17560"
"15k","R7","Resistor_SMD:R_0805_2012Metric","C17475"
"NC","R9,R10,R11,R12","Resistor_SMD:R_0805_2012Metric",""
"RST","SW1","Button_Switch_SMD:SW_SPST_TL3342","C318884"
"BTN","SW2","Button_Switch_SMD:SW_SPST_TL3342","C318884"
"NC","U1","Package_DIP:DIP-28_W15.24mm",""
"NC","U2","Package_DIP:DIP-14_W7.62mm",""
"NC","U3","Package_DIP:DIP-40_W15.24mm",""
"NC","U4","Package_DIP:DIP-28_W15.24mm",""
"MIC5504-3.3YM5","U5","Package_TO_SOT_SMD:SOT-23-5","C3021093"
"AMS1117-5.0","U6","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C6187"
"SN74LVC1G14DBVR","U7","Package_TO_SOT_SMD:SOT-23-5","C434069"
"1MHz","X1","Oscillator:Oscillator_SMD_SeikoEpson_SG210-4Pin_2.5x2.0mm_HandSoldering","C390529"
"NC","Y1","Crystal:Crystal_HC49-U_Vertical",""
