Ref,Val,Package,PosX,PosY,Rot,Side
"C1","NC/30pF","C_0805_2012Metric",108.290400,-53.187600,180.000000,top
"C2","NC/30pF","C_0805_2012Metric",108.458000,-60.706000,-90.000000,top
"C3","100nF","C_0805_2012Metric",122.631200,-53.949600,90.000000,top
"C4","100nF","C_0805_2012Metric",159.308800,-94.894400,90.000000,top
"C5","1uF","C_0805_2012Metric",167.005000,-88.021200,180.000000,top
"C6","1uF","C_0805_2012Metric",167.005000,-81.534000,0.000000,top
"C7","10uF","C_1206_3216Metric",145.338800,-54.559200,-90.000000,top
"C8","10uF","C_1206_3216Metric",145.338800,-59.690000,-90.000000,top
"C9","100nF","C_0805_2012Metric",157.226000,-94.858800,-90.000000,top
"C11","100nF","C_0805_2012Metric",168.468000,-71.628000,0.000000,top
"C12","100nF","C_0805_2012Metric",112.979200,-74.726800,0.000000,top
"C13","100nF","C_0805_2012Metric",111.963200,-86.004400,-90.000000,top
"D1","GREEN LED","LED_0805_2012Metric",158.800800,-82.765700,-90.000000,top
"D2","RED LED","LED_0805_2012Metric",162.991800,-82.768000,-90.000000,top
"D3","WHITE LED","LED_0805_2012Metric",160.909000,-82.740300,-90.000000,top
"D4","1N4007","D_SMA",150.164800,-50.800000,0.000000,top
"J1","Barrel_Jack_MountingPin","BarrelJack_Horizontal",160.703000,-56.177100,180.000000,top
"J2","USB_B_Micro","USB_Micro-B_Amphenol_10118194_Horizontal",174.163200,-86.496400,90.000000,top
"J3","OLED","PinSocket_1x04_P2.54mm_Vertical",111.861600,-53.898800,90.000000,top
"R1","3k","R_0805_2012Metric",103.378000,-60.706000,-90.000000,top
"R2","3k","R_0805_2012Metric",105.537000,-60.706000,-90.000000,top
"R3","NC/1M","R_0805_2012Metric",122.631200,-57.404000,90.000000,top
"R4","NC/470","R_0805_2012Metric",122.631200,-60.807600,90.000000,top
"R5","22k","R_0805_2012Metric",158.826200,-86.247400,-90.000000,top
"R6","22k","R_0805_2012Metric",159.359600,-90.664700,-90.000000,top
"R7","15k","R_0805_2012Metric",162.991800,-86.243600,-90.000000,top
"R8","22k","R_0805_2012Metric",160.909000,-86.247400,-90.000000,top
"REF**","Mousebite","Mousebite",170.789600,-62.382400,0.000000,top
"REF**","Mousebite","Mousebite",170.789600,-70.408800,0.000000,top
"REF**","Mousebite","Mousebite",170.789600,-76.083200,0.000000,top
"REF**","Mousebite","Mousebite",170.789600,-66.421000,0.000000,top
"SW1","RST","SW_SPST_TL3342",165.455600,-98.552000,0.000000,top
"SW2","BTN","SW_SPST_TL3342",165.455600,-92.085200,0.000000,top
"U1","R6507","DIP-28_W15.24mm",103.489600,-78.740000,90.000000,top
"U2","NC/74HC04","DIP-14_W7.62mm",125.217000,-61.204000,90.000000,top
"U3","6532","DIP-40_W15.24mm",106.019600,-96.266000,90.000000,top
"U4","w27C512","DIP-28_W15.24mm",174.599600,-63.495000,-90.000000,top
"U5","MIC5504-3.3YM5","SOT-23-5",167.005000,-84.709000,90.000000,top
"U6","LM1117-5.0","SOT-223-3_TabPin2",152.704800,-57.556400,180.000000,top
"U7","SN74LVC1G14DBVR","SOT-23-5",133.350000,-57.277000,0.000000,top
"X1","1MHz","Oscillator_SMD_SeikoEpson_SG210-4Pin_2.5x2.0mm_HandSoldering",109.684600,-57.392600,0.000000,top
"Y1","NC/1Mhz","Crystal_HC49-U_Vertical",118.160800,-59.639200,180.000000,top
