Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric,106.873,-70.612,0,top
C2,100nF,C_0805_2012Metric,108.458,-60.132,-90,top
C3,100nF,C_0805_2012Metric,106.868,-72.644,180,top
C4,100nF,C_0805_2012Metric,150.495,-85.41,90,top
C5,1uF,C_0805_2012Metric,161.45,-74.0457,180,top
C6,1uF,C_0805_2012Metric,161.4,-67.5585,0,top
C7,10uF,C_1206_3216Metric,144.653,-54.5592,90,top
C8,10uF,C_1206_3216Metric,144.653,-59.69,90,top
C9,100nF,C_0805_2012Metric,151.35,-89.25,0,top
C11,100nF,C_0805_2012Metric,168.468,-71.628,0,top
C12,100nF,C_0805_2012Metric,112.9792,-74.7268,0,top
C13,100nF,C_0805_2012Metric,111.125,-86.0044,90,top
C15,22p,C_0805_2012Metric,136.779,-87.761,90,top
C16,1uF,C_0805_2012Metric,160.35,-90.05,0,top
C17,22p,C_0805_2012Metric,130.556,-87.766,-90,top
D1,GREEN LED,LED_0805_2012Metric,156.972,-81.8134,-90,top
D2,RED LED,LED_0805_2012Metric,161.163,-81.8157,-90,top
D3,RED LED,LED_0805_2012Metric,159.0802,-81.788,-90,top
D4,1N4007,D_SMA,150.1648,-50.8,0,top
J1,Barrel,BarrelJack_Horizontal,160.703,-56.1771,180,top
J2,GPCO,PinHeader_1x02_P2.54mm_Vertical,103.505,-59.1566,-90,top
J3,OLED,PinSocket_1x04_P2.54mm_Vertical,111.8616,-53.848,-90,top
J4,USB2.0_16P,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,167.132,-86.995,-90,top
J5,Databus,PinHeader_2x04_P2.54mm_Vertical,128.905,-60.96,-90,top
J6,Chip select,PinSocket_1x04_P2.54mm_Vertical,141.605,-53.34,0,top
J7,Addressbus,PinHeader_2x06_P2.54mm_Vertical,123.825,-55.88,-90,top
J8,Signals,PinHeader_2x02_P2.54mm_Vertical,121.285,-58.42,0,top
JP10,Jumper,PinHeader_1x02_P2.54mm_Vertical,147.574,-58.039,0,top
Q1,MMBT3906,SOT-23,117.348,-71.501,0,top
R1,3k,R_0805_2012Metric,106.8305,-74.676,180,top
R2,3k,R_0805_2012Metric,113.0065,-72.517,0,top
R5,22k,R_0805_2012Metric,160.35,-88.05,0,top
R6,22k,R_0805_2012Metric,160.3625,-92.05,180,top
R7,22k,R_0805_2012Metric,165.1,-70.993,-90,top
R8,22k,R_0805_2012Metric,156.972,-85.8755,90,top
R9,1k,R_0805_2012Metric,120.523,-87.9075,-90,top
R10,1k,R_0805_2012Metric,122.555,-87.8605,-90,top
R13,5k1,R_0805_2012Metric,168.1715,-80.772,0,top
R14,5k1,R_0805_2012Metric,164.1875,-80.772,180,top
R16,5k1,R_0805_2012Metric,128.524,-87.8605,90,top
R17,5k1,R_0805_2012Metric,126.619,-87.8605,90,top
R18,22k,R_0805_2012Metric,168.402,-69.088,0,top
R19,1k,R_0805_2012Metric,117.1975,-74.676,0,top
SW1,RST,SW_SPST_TL3342,160.02,-97.5,-90,top
SW2,BTN,SW_SPST_TL3342,167.132,-97.5,-90,top
U1,R6507,DIP-28_W15.24mm,103.4896,-78.74,-90,top
U2,74HC161,SOP-16_3.9x9.9mm_P1.27mm,114.935,-58.714,-90,top
U3,6532,DIP-40_W15.24mm,106.0196,-96.266,-90,top
U4,w27C512,DIP-28_W15.24mm,174.5996,-63.495,90,top
U5,MIC5504-3.3YM5,SOT-23-5,161.4,-70.7335,-90,top
U6,AMS1117-5.0,SOT-223-3_TabPin2,153.543,-57.277,180,top
U7,SN74LVC1G14DBVR,SOT-23-5,156.972,-68.58,0,top
U8,CH340G,SOIC-16_3.9x9.9mm_P1.27mm,144.272,-87.949,90,top
U9,74HC138,SOP-16_3.9x9.9mm_P1.27mm,149.352,-70.612,90,top
U10,24C64S,SOT-23-5,156.9875,-72.45,0,top
X1,8MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,108.1278,-54.991,90,top
Y2,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,133.688,-87.788,180,top
